insert_time1 insert_time2 erase_time1 erase_time2 find_time1 find_time1 Max_depth1 Max_depth2 
0.0005066 0.0004618 0.0008865 0.0008865 0.0001527 0.0001408 38 36 
0.0004652 0.000383 0.0010262 0.0010262 0.0001586 0.0001485 43 40 
0.0004741 0.0004442 0.0015355 0.0015355 0.0001545 0.0001407 44 38 
0.000684 0.0006218 0.0016795 0.0016795 0.0001804 0.0002005 41 40 
0.0004348 0.000425 0.0008971 0.0008971 0.0001484 0.0001338 41 37 
0.0004409 0.0003805 0.0013322 0.0013322 0.0001532 0.0001831 39 41 
0.0007833 0.0005733 0.0010528 0.0010528 0.0001769 0.000185 38 40 
0.0004544 0.0008104 0.000935 0.000935 0.0001514 0.0001307 42 46 
0.0004575 0.0003836 0.001295 0.001295 0.0001671 0.0001579 39 38 
0.0004248 0.0004556 0.0009532 0.0009532 0.0001578 0.0001808 38 37 
0.0004615 0.0004184 0.0014002 0.0014002 0.0001498 0.0001399 37 42 
0.0004804 0.0004754 0.000931 0.000931 0.0001507 0.0001376 41 40 
0.0004737 0.0004002 0.001301 0.001301 0.0001607 0.0001945 41 43 
0.0005193 0.0006324 0.0014619 0.0014619 0.0001674 0.0001685 38 41 
0.0006493 0.0004371 0.0014609 0.0014609 0.0001554 0.0001554 42 43 
0.000451 0.0005097 0.0009069 0.0009069 0.0001524 0.0001514 43 38 
0.000368 0.0004487 0.0013213 0.0013213 0.0001649 0.0001336 44 42 
0.00046 0.0003983 0.001346 0.001346 0.0001868 0.0001936 40 42 
0.0005028 0.0007319 0.0015535 0.0015535 0.0001637 0.0001842 39 37 
0.0009222 0.0006185 0.000918 0.000918 0.0001425 0.0001467 42 41 
0.0004072 0.0004184 0.0012649 0.0012649 0.0001602 0.0001372 38 39 
0.0004608 0.0004458 0.0008975 0.0008975 0.0001473 0.0001369 39 40 
0.0005307 0.0004502 0.000949 0.000949 0.0001567 0.0001386 39 38 
0.0003798 0.0004534 0.0009354 0.0009354 0.000158 0.0001565 41 44 
0.000473 0.0004488 0.0012294 0.0012294 0.0001621 0.0001818 40 41 
0.0004901 0.000551 0.0013066 0.0013066 0.0001553 0.000145 40 38 
0.0004549 0.0003785 0.000919 0.000919 0.0001607 0.0001432 37 42 
0.000404 0.0004428 0.0011939 0.0011939 0.0001547 0.0001317 41 39 
0.0006729 0.0006183 0.0012387 0.0012387 0.0002084 0.0001533 39 47 
0.0004703 0.0004287 0.0012999 0.0012999 0.0001537 0.000153 41 42 
0.0004067 0.0004632 0.0009063 0.0009063 0.0001529 0.0001465 42 41 
0.0004862 0.00043 0.0010316 0.0010316 0.0001582 0.0001506 38 42 
